date,next_day_pct_change,pct_return_1d,pct_return_3d,pct_return_7d,price_ma_5d,price_ma_10d,pct_vol_5d,post_count_tweet,sentiment_mean_tweet,sentiment_std_tweet,median_len_tweet,std_len_tweet,sum_retweets_tweet,sum_replies_tweet,sum_likes_tweet,sum_quotes_tweet,sum_views_tweet,sum_bookmarks_tweet,post_count_retweet,sentiment_mean_retweet,sentiment_std_retweet,median_len_retweet,std_len_retweet,sum_retweets_retweet,sum_replies_retweet,sum_likes_retweet,sum_quotes_retweet,sum_views_retweet,sum_bookmarks_retweet,all_posts,tfidf_top5_weight_sum,tfidf_top_keywords,tfidf_weight_sum_lag1,tfidf_weight_sum_lead1
2011-12-01,2.1472595552753715,-0.4276459624486195,0.12281923637891268,2.6448364989486217,2.150800180435181,2.1524666786193847,0.023379184581376267,2.0,0.4294,0.607263303683007,106.5,16.263455967290593,46.0,83.0,321.0,17.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Went to Iceland on Sat to ride bumper cars on ice! No, not the country, Vlad's rink in Van Nuys. Awesome family fun :) <SEP> I made the volume on the Model S go to 11. Now I just need to work in a miniature Stonehenge... <SEP> 0",1.6351112921106867,"11,ride,family,went,fun",0.0,0.0
2011-12-21,0.7254060152823705,-1.182793280005734,-1.5357304017730944,-9.33901633622244,1.8645334243774414,1.934399926662445,0.011166709749087724,7.0,0.24544285714285713,0.48415103999042436,104.0,32.23204557431566,864.0,188.0,3293.0,146.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Read ""Lying"", the new book by my friend Sam Harris. Excellent cover art and lots of good reasons not to lie! <SEP> Sam Harris also wrote a nice piece on the awesomeness of Hitchens: May the good man RIP. <SEP> Why does the crowd cry over the glorious leader Kim Il Sung's death? Fear of being shot may play a role: <SEP> His singing and acting talent will be sorely missed: South Park sequel coming soon... <SEP> Got called randomly by Kanye West today and received a download of his thoughts, ranging from shoes to Moses. He was polite, but opaque. <SEP> Yeah, this really is me, as my Mom will attest. Not sure I can handle just doing 140 char missives. Will put longer thoughts on G+ <SEP> Yum! Even better than deep fried butter: <SEP> 0",1.1497555936586343,"sep,good,received,art,man",0.0,1.838476907667721
2011-12-22,0.46814873844720495,0.7254060152823705,0.07205395992313512,-5.70458439536381,1.8532000303268432,1.913599920272827,0.01218208734225912,3.0,0.13396666666666665,0.2320370731873106,98.0,2.6457513110645907,306.0,211.0,2136.0,95.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Raul Campos invited me to do a guest DJ gig on KCRW. Hear my random holiday season music selections at <SEP> Hi, I'm Art Garfunkel. Have you heard the sound of silence? Because, you know, it makes a sound... <SEP> Model S options are out! Performance in red and black for me. I will deliver my car in June/July. <SEP> 0",1.838476907667721,"art,hear,red,makes,sep model",1.1497555936586343,0.0
2011-12-27,-0.21001401658143903,2.401451892226336,3.6271468210878455,-0.1746840953813944,1.8628000259399413,1.880400013923645,0.012708049873985052,1.0,0.3182,0.0,96.0,0.0,42.0,21.0,46.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,If you ever wanted to know the *real* truth about the moon landings ...(best Onion article ever) <SEP> 0,1.9603363041721682,"landings,moon,article,truth,best",0.0,0.0
2011-12-29,-0.5916980778837178,0.7716281097218669,2.9748934342664235,3.5315139418484076,1.886400008201599,1.8754667162895202,0.00961296644138955,2.0,0.24735,0.45898301166818795,128.5,13.435028842544403,59.0,311.0,508.0,93.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Interesting Economist article about how humanity's collective actions have created a fundamentally new geological age -- the Anthropocene. <SEP> Am not saying that is *necessarily* good or bad, but reality will force us to live with the consequences of our actions <SEP> 0",1.6473839148701295,"created,force,saying,reality,article",0.0,1.2308858868686134
2011-12-30,-1.680675636163731,-0.5916980778837178,-0.035017983095619876,2.3655929691130506,1.89693341255188,1.8750667214393615,0.011579276658894617,8.0,0.43370000000000003,0.3526765616579264,135.0,34.46089916744152,40897.0,2288.0,157077.0,4379.0,0.0,2033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Am reading Robert Massie's book on Catherine the Great. Yeah, I know what you're probably thinking ... did she really f* a horse? <SEP> Sew one button, doesn't make u a tailor; cook one meal, doesn't make u a chef; but f* one horse and u r a horsef*er for all of history... <SEP> I'm just saying that u shouldn't pass judgment based on one night of passion. Sometimes things just happen and u go with the moment :) <SEP> Right mood, scented candles, Barry White singing ""Can't Get Enough of Your Love, Baby"" and the magic (by that I mean horsef*ing) happens ... <SEP> To be clear, CtG absolutely did *not* bang her horse. They were just close friends who liked to take showers together and spoon at night. <SEP> China unveils ambitious space strategy <SEP> SpaceX has Boeing, Lockheed, Europe (Ariane) and Russia (Proton/Soyuz) near checkmate in rocket technology. End game is all about China. <SEP> Not that this really matters. All current rocket tech, including ours, sucks. Only when it becomes fully reusable, will it not suck. <SEP> 0",1.2308858868686134,"sep,china,doesn,night,just",1.6473839148701295,1.819236726041758
2012-01-03,-1.3176829534662038,-1.680675636163731,-1.5082586184728353,1.8498323611312095,1.89933340549469,1.875600016117096,0.015399556052192271,2.0,0.5236000000000001,0.11766256838944146,116.5,19.091883092036785,92.0,15.0,87.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"What everyone really thinks ... RT “: If Mayans were good at predicting the future, there'd be Mayans.” <SEP> Just finished Massie's book on Catherine. An amazingly expansive and compelling portrait of an incredible woman. Highly recommend. <SEP> 0",1.819236726041758,"incredible,book,recommend,highly,future",1.2308858868686134,0.0
2012-01-06,1.2634855506582277,-0.7743329208261263,-4.166664013325971,-5.81030642769319,1.8450665950775147,1.865733301639557,0.006345805923110885,3.0,0.10606666666666666,0.18371285565613893,116.0,43.15476026272575,112.0,64.0,134.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feb is huge month. Model X world premier and public reveal of our LA design studio on the 9th. Stay tuned for more details. <SEP> Next month is also when our Dragon spaceship docks with the Space Station for the first time. Major pucker factor... <SEP> Model S Signature series sold out as of today <SEP> 0,1.4663096802508084,"month,model,spaceship,series,details",0.0,0.0
2012-01-11,0.07082881495070747,2.208559621152628,4.905236257989887,-1.1554660651105553,1.8283999919891358,1.8581332921981812,0.017824503069606756,1.0,0.6616,0.0,116.0,0.0,63.0,31.0,314.0,17.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"The exec conf room at Tesla used to be called Denali, but I decided to move a few letters around. Seemed more apt :) <SEP> 0",2.07635500076168,"room,used,called,tesla,sep",0.0,1.561127391198141
2012-01-12,-19.327435405115235,0.07082881495070747,3.6696878670401167,0.6053947043819674,1.843466591835022,1.8563998937606812,0.011744131660528873,3.0,0.16176666666666667,0.4061747202046594,97.0,28.513154858766505,147.0,73.0,184.0,103.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Model S Performance powertrain produced so much torque today that we broke the dyno. 4.4 sec 0-60 mph will not be a problem. <SEP> Kids these days are so grown up! RT ""Second-Graders Wow Audience With School Production Of Equus"" <SEP> What is more magical than cowboys herding cats? Livin' the dream... <SEP> 0",1.561127391198141,"school,mph,sec,60,kids",2.07635500076168,2.013633025603119
